id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
1994,ARRET MINUTE,92,137,2023-09-05 22:22:16,2023-09-05 22:22:36,32.846715328467155,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-05 22:24:42,2023-09-05 22:24:42
2740,HOTEL DE VILLE,353,625,2023-09-06 06:40:20,2023-09-06 06:40:19,43.519999999999996,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 06:43:08,2023-09-06 06:43:08
2751,PALAIS DE JUSTICE,72,70,2023-09-06 06:42:21,2023-09-06 06:42:19,-2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 06:45:38,2023-09-06 06:45:38
53,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:37,2023-09-04 23:23:37
62,ARRET MINUTE,96,137,2023-09-04 23:20:06,2023-09-04 23:20:06,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:23:42,2023-09-04 23:23:42
69,ARRET MINUTE,96,137,2023-09-04 23:20:06,2023-09-04 23:20:06,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:23:47,2023-09-04 23:23:47
74,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:52,2023-09-04 23:23:52
81,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:57,2023-09-04 23:23:57
87,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:24:02,2023-09-04 23:24:02
95,THEATRE,218,320,2023-09-04 23:22:08,2023-09-04 23:22:07,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:24:08,2023-09-04 23:24:08
